,#,Address,File #,Type,Status,Date Issued,Date Closed,Description
11,12,585 Eramosa Rd,05 084230 000 00 PK,Backflow Devices - Building Permit,Closed,"Oct 11, 2005","Oct 12, 2005","1 Backflow Prevention Devices 1/2"" RP"
12,13,585 Eramosa Rd,10 007777 000 00 SS,Sign Permit,Closed,"Nov 22, 2010","Dec 22, 2011",Rebranding of canopy and freestanding signage to Petro Canada...includes red decorative piping
13,14,585 Eramosa Rd,11 013075 000 00 PH,Mechanical Permit,Closed,"Nov 08, 2011","Feb 06, 2012","1 Backflow Device  1/2"" RP4A - 7 Eleven Store on chemical dispenser"
14,15,585 Eramosa Rd,13 008475 000 00 PR,ICI Renovation - Building Permit,Closed,"Sep 16, 2013","Mar 06, 2014",Interior Renovations & expand into adjacent unit- Unit 1&2 -Domino's Pizza(Incl. Plbg.& HVAC)
15,16,585 Eramosa Rd,18 000751 000 00 CL,Complaint By-Law,Closed,"Feb 09, 2018","Apr 24, 2018",possible portable sign no permit -  7-Eleven Food Store
16,17,585 Eramosa Rd,21 000936 000 00 CI,Property Inspection,Issued,"Feb 24, 2021",Liquor License Letter - 7-Eleven,
17,18,585 Eramosa Rd,21 003593 000 00 SM,Temporary Sign Permit,Closed,"Jun 18, 2021","Nov 16, 2021",October 4 2021 to November 2 2021. Domino's Pizza
18,19,585 Eramosa Rd,21 005958 000 00 CI,Property Inspection,Closed,"Oct 27, 2021","Oct 27, 2021",Inspection to verify survey information
19,20,585 Eramosa Rd,21 006910 000 00 BMH,Mechanical,Complete,"Dec 22, 2021","Jan 07, 2022",1 DCVA is a Watts½  Model # LF007QTSerial # 69191
20,21,585 Eramosa Rd,21 007651 000 00 SM,Temporary Sign Permit,Closed,"Dec 23, 2021","Feb 07, 2022",January 5 2022 to February 3 2022. Domino's Pizza
21,22,585 Eramosa Rd,22 001680 000 00 SM,Temporary Sign Permit,Closed,"Apr 06, 2022","Jun 13, 2022",May 4 2022 to June 2 2022. Domino's Pizza
22,23,585 Eramosa Rd,22 003698 000 00 SM,Temporary Sign Permit,Closed,"Jun 30, 2022","Aug 03, 2022",July 4 2022 to August 2 2022. Domino's Pizza
23,24,585 Eramosa Rd,22 004019 000 00 SM,Temporary Sign Permit,Issued,"Jul 20, 2022",October 4 2022 to November 2 2022. Domino's Pizza,
0,1,1027 Gordon St,65 000099 000 00 PR,ICI Renovation - Building Permit,Closed,"Nov 06, 1965",Banquet Hall addition L shape-4000sqft -Amber Cupola-HISTORIC (see attachment),
1,2,1027 Gordon St,87 026383 000 00 PR,ICI Renovation - Building Permit,Closed,"Oct 13, 1987","Dec 03, 2009","Interior Renovations to Expand Real Estate Office, Unit 3"
2,3,1027 Gordon St,88 028156 000 00 PR,ICI Renovation - Building Permit,Closed,"Aug 09, 1988","Dec 14, 2006",Interior Renovations to Create Dental Office - Unit 4
3,4,1027 Gordon St,88 028275 000 00 PP,Plumbing Permit,Closed,"Aug 04, 1988","Jan 09, 2001","Plumbing for Dental Office, Unit 4"
4,5,1027 Gordon St,92 001347 000 00 SS,Sign Permit,Closed,"Aug 05, 1992","Dec 11, 1995",Fascia Sign Home Hardware
5,6,1027 Gordon St,97 040505 000 00 PR,ICI Renovation - Building Permit,Closed,"Jul 14, 1997","Mar 31, 1998",Cosmetic Parapet on Roof (Existing)
6,7,1027 Gordon St,98 102404 000 00 PP,Plumbing Permit,Closed,"Apr 15, 1998","May 08, 1998","3 New sink fixtures (2 hand, 1 dish)Peppino's Italian Cafe"
7,8,1027 Gordon St,98 109935 000 00 PN,ICI New Building - Building Permit,Closed,"Apr 12, 1999","Feb 20, 2002","New Retail Plaza - Shell Only(includes HVAC, No Plumbing)"
8,9,1027 Gordon St,00 016240 000 00 PP,Plumbing Permit,Closed,"Feb 21, 2000","Jan 03, 2001","Install Above-ground Plumbing -5 Units , 2 Piece Barrier Free in each + 5 HWT's & meter room."
9,10,1027 Gordon St,00 017275 000 00 PT,Tenant Finishes - Building Permit,Closed,"Apr 28, 2000","Aug 16, 2002","Interior Finishes - Unit #8(no plbg) includes heating as per tenant May 18, 2000."
10,11,1027 Gordon St,00 017698 000 00 SS,Sign Permit,Closed,"Apr 12, 2000","Apr 12, 2000",New sign box for the the 2nd building
11,12,1027 Gordon St,00 020060 000 00 PT,Tenant Finishes - Building Permit,Closed,"Jul 24, 2000","Oct 17, 2000","Interior finishes for new home decor store, unit #10 - 1465sqft. Includes HVAC, no plumbing."
12,13,1027 Gordon St,00 020413 000 00 PT,Tenant Finishes - Building Permit,Closed,"Jul 10, 2000","Sep 18, 2000",Interior finishes to Unit #9 to create a new hair salon - Silouette Hair Design.Includes plumbing and minor HVAC.
13,14,1027 Gordon St,00 023142 000 00 PT,Tenant Finishes - Building Permit,Closed,"Aug 23, 2000","Jul 03, 2002",Tenant Finishes (Unit #11-Wine Kitz) includes plbg & NO H.V.A.C.
14,15,1027 Gordon St,00 025694 000 00 PR,ICI Renovation - Building Permit,Closed,"Oct 18, 2000","Mar 25, 2004",Interior renovations for doctors office (chiropractic) includes plumbing & minor HVAC). Unit #5
15,16,1027 Gordon St,01 031054 000 00 PR,ICI Renovation - Building Permit,Closed,"Apr 25, 2001","Jan 28, 2004",Erect lean-to structure to rear of plaza 14'x32'. (Open Roofed Structure)
16,17,1027 Gordon St,01 033082 000 00 PR,ICI Renovation - Building Permit,Closed,"Jul 13, 2001","May 06, 2002",Interior Renovations (Unit 12)  (includes plbg and HVAC)Dr. Albert Raco Office
17,18,1027 Gordon St,02 046561 000 00 PA,ICI Addition - Building Permit,Closed,"Aug 08, 2002","Jan 28, 2004","New Addition (No Plumbing, No HVAC). Home Hardware"
18,19,1027 Gordon St,02 049688 000 00 PR,ICI Renovation - Building Permit,Closed,"Sep 26, 2002","Oct 15, 2002","Interior Finishes to Create Flowershop (Unit 1) - Includes Plumbing, No HVAC."
19,20,1027 Gordon St,02 050764 000 00 PH,Mechanical Permit,Closed,"Nov 15, 2002","May 12, 2004",HVAC ONLY for Addition. (See also Building Permit #02-046561) No Plumbing.Home Hardware.
20,21,1027 Gordon St,04 065548 000 GP PR,ICI Renovation - Building Permit,Closed,"Feb 25, 2004","Oct 27, 2016","New Sloped Roof Structure Over Existing Low Slope Roof.  (No Plumbing, No HVAC)"
21,22,1027 Gordon St,04 068845 000 GP PR,ICI Renovation - Building Permit,Closed,"Jun 14, 2004","Jun 06, 2006","Interior Renovations to Create Offices. Minor Plumbing, No HVAC.Amended June 15, 2004 to Include the Installation of a Lunch Room Sink. RPB"
22,23,1027 Gordon St,05 083040 000 00 PK,Backflow Devices - Building Permit,Closed,"Aug 29, 2005","Oct 12, 2005","Install 1 Backflow Prevention Device 1/2"" RP"
23,24,1027 Gordon St,06 007883 000 00 PR,ICI Renovation - Building Permit,Closed,"Oct 25, 2006","Nov 24, 2010","Interior Alterations - Homelife Reality ( Unit 2, 3, & 4 ) Expand into Unit #4 (Create opening in existing demising wall, construct 2 new walls in existing office areas) - (No Plumbing, No HVAC)"
24,25,1027 Gordon St,06 007958 000 00 PK,Backflow Devices - Building Permit,Closed,"Oct 19, 2006","Jun 06, 2007","1 Backflow Prevention Device 1"" DCVA"
25,26,1027 Gordon St,08 000217 000 00 CZ,Zoning Complaint,Closed,"Jan 11, 2008","Dec 17, 2009",Shed.
26,27,1027 Gordon St,10 003870 000 00 SS,Sign Permit,Closed,"Jun 16, 2010","Sep 03, 2010","Building sign, Organic Meadow"
27,28,1027 Gordon St,10 004927 000 00 PH,Mechanical Permit,Closed,"Jul 20, 2010","Aug 29, 2010",2 Sinks & 4 Spa Chairs -Mary Nails (Unit 5)
28,29,1027 Gordon St,10 005443 000 00 SM,Temporary Sign Permit,Closed,"Aug 13, 2010","Jul 06, 2017",Portable sign for Thee Corn Stand
29,30,1027 Gordon St,10 005596 000 00 SM,Temporary Sign Permit,Closed,"Aug 18, 2010","Mar 25, 2013",Portable sign permit for Champion Mortgage Inc.
30,31,1027 Gordon St,11 001486 000 00 CL,Complaint By-Law,Closed,"Mar 23, 2011","May 17, 2011",Mobile sign too close to another mobile sign
31,32,1027 Gordon St,12 008610 000 00 PH,Mechanical Permit,Closed,"Aug 13, 2012","Sep 13, 2012","1 Backflow Prevention Device - 1/2"" RPZ at chemical feeder -Unit 1-Rowe Meats"
32,33,1027 Gordon St,13 000457 000 00 CA,Committee of Adjustment,Closed,"Apr 19, 2013",Approved - Minor variance to permit a food preparation and vending vehicle,
33,34,1027 Gordon St,14 009406 000 00 CL,Complaint By-Law,Closed,"Oct 15, 2014","Mar 09, 2017",Mobile Sign Violation - JC's Hair
34,35,1027 Gordon St,14 010546 000 00 PR,ICI Renovation - Building Permit,Closed,"Dec 11, 2014","Sep 01, 2015","Interior Alterations  (Bldg 2, Unit 11) (Minor Plumbing, amended to inc type 2 exh hood) -Rowe Farm Meats"
35,36,1027 Gordon St,18 000203 000 00 CL,Complaint By-Law,Closed,"Jan 16, 2018","Sep 05, 2018",possible portable sign no permit - AY Baker
36,37,1027 Gordon St,18 001003 000 00 CL,Complaint By-Law,Closed,"Feb 21, 2018","Jul 30, 2018",possible portable sign no permit - Rowe Farms
37,38,1027 Gordon St,18 003672 000 00 SM,Temporary Sign Permit,Closed,"Jun 07, 2018","Mar 17, 2020",2018 Portable Sign - The Bakery by Appetizingly yours
38,39,1027 Gordon St,20 005127 000 00 PR,ICI Renovation - Building Permit,Closed,"Nov 02, 2020","Mar 31, 2021",Interior renovations (Incl. HVAC/PLG) - Global Currency Services
39,40,1027 Gordon St,20 007001 000 00 SS,Sign Permit,Refused,2 Building Signs - Home Hardware,,
40,41,1027 Gordon St,21 005890 000 00 SM,Temporary Sign Permit,Closed,"Oct 04, 2021","Nov 23, 2021",October 5 2021 to November 3 2021. Global Currency Services Inc.
41,42,1027 Gordon St,21 007363 000 00 SM,Temporary Sign Permit,Closed,"Dec 13, 2021","Feb 02, 2022",December 10 2021 to January 8 2022. Global Currency Services Inc.
42,43,1027 Gordon St,22 001607 000 00 BPR,ICI Renovation,Complete,"May 16, 2022","May 31, 2022","Interior Alterations (Minor PLBG, No HVAC) -Unit 4 (Massage Therapy)"
43,44,1027 Gordon St,22 002697 000 00 SM,Temporary Sign Permit,Closed,"May 27, 2022","Jul 12, 2022",May 26 2022 to June 24 2022. Global Currency Services Inc.
44,45,1027 Gordon St,22 003499 000 00 SM,Temporary Sign Permit,Closed,"Jun 24, 2022","Aug 05, 2022",June 25 2022 to July 24 2022. Global Currency Services Inc
0,1,259 Grange Rd,90 032707 000 00 PT,Tenant Finishes - Building Permit,Closed,"Aug 01, 1990","Feb 07, 2000",Tenant Finished all occasion cakes unit 6
1,2,259 Grange Rd,90 033470 000 00 PT,Tenant Finishes - Building Permit,Closed,"Jun 01, 1990","Mar 10, 1997",Demizing wall for exit corridor for Bowling Alley
2,3,259 Grange Rd,90 035287 000 00 PH,Mechanical Permit,Closed,"Dec 20, 1990","Apr 27, 2001",Install Heating System; Unit 5 - Mustang Bar & Grill
3,4,259 Grange Rd,92 000095 000 00 PR,ICI Renovation - Building Permit,Closed,"Mar 03, 1992","Feb 04, 2000",Interior Renovations To Unit 8
4,5,259 Grange Rd,92 000785 000 00 PR,ICI Renovation - Building Permit,Closed,"Jul 14, 1992","Dec 03, 1992",Interior Partitions & Washrooms Unit 9 (restaurant)
5,6,259 Grange Rd,92 000890 000 00 PP,Plumbing Permit,Closed,"Jun 02, 1992","Jun 24, 1992","Plumbing For Donut Shop, Unit 9"
6,7,259 Grange Rd,92 001028 000 00 SS,Sign Permit,Closed,"Jun 11, 1992","Dec 08, 1995",Fascia Signs Sunrise Donuts-unit 9
7,8,259 Grange Rd,92 001861 000 00 PR,ICI Renovation - Building Permit,Closed,"Oct 23, 1992","Sep 18, 1996",Plumbing & Interior Finishes Pizza Restaurant  Unit 8
8,9,259 Grange Rd,93 000776 000 00 SS,Sign Permit,Closed,"May 28, 1993","Dec 11, 1995",Fascia Sign Mustang Bar & Grill
9,10,259 Grange Rd,93 001259 000 00 PR,ICI Renovation - Building Permit,Closed,"Sep 13, 1993","Sep 10, 1993",Interior Partitions-3 Offices  -Unit 4
10,11,259 Grange Rd,93 001569 000 00 PR,ICI Renovation - Building Permit,Closed,"Nov 03, 1993","Aug 15, 1997",Kitchen Exhaust System Sunrise Donuts  Unit 9
11,12,259 Grange Rd,95 000163 000 00 PR,ICI Renovation - Building Permit,Closed,"Feb 21, 1995","Apr 27, 2001",Expansion Into Unit 6 - Mustang Bar & Grill (Unit 5)
12,13,259 Grange Rd,00 018816 000 00 PP,Plumbing Permit,Closed,"May 08, 2000","Jul 11, 2000","6 showers ( 2  floor drains),  floor drain in wet sauna & floor drain in mechanical room."
13,14,259 Grange Rd,00 025038 000 00 PR,ICI Renovation - Building Permit,Closed,"Sep 28, 2000","Oct 23, 2000","Interior renovations to create a new Fitness Club.  Unit 4Does not include plumbing, includes minor HVAC."
14,15,259 Grange Rd,01 028928 000 00 PR,ICI Renovation - Building Permit,Closed,"Feb 14, 2001","Jun 06, 2001","Interior renovations for telecommunication room - Unit 9,1606 ftý) & 11'x17' outdoor enclosure for generator. Includes HVAC, No Plumbing."
15,16,259 Grange Rd,01 029152 000 00 PP,Plumbing Permit,Closed,"Jan 30, 2001","Jan 14, 2002","Plumbing Alterations, 2 floor drains, Unit 9 (Telecomm. Room)"
16,17,259 Grange Rd,02 047547 000 00 PF,ICI Foundation - Building Permit,Closed,"Aug 19, 2002","Feb 17, 2003",FOUNDATION & SITE SERVICESAmended OCT 10/02 to include site services. pmoore
17,18,259 Grange Rd,02 049764 000 00 PN,ICI New Building - Building Permit,Closed,"Nov 21, 2002","May 10, 2004","SUPERSTRUCTURE - Shell Only for Retail Mall. No Plumbing, No HVAC."
18,19,259 Grange Rd,02 050807 000 00 PH,Mechanical Permit,Closed,"Nov 15, 2002","Jan 05, 2004",HVAC installation for New Commercial Building.
19,20,259 Grange Rd,03 053902 000 00 PT,Tenant Finishes - Building Permit,Closed,"Mar 10, 2003","Dec 01, 2003",Tenant Finishes (Unit 13) -Chiropractic Office(Includes Plumbing & HVAC).
20,21,259 Grange Rd,03 055129 000 00 PT,Tenant Finishes - Building Permit,Closed,"Apr 15, 2003","Jul 04, 2003","Tenant Finishes - Units 14 - 16; Fu Su Shi Japanese RestaurantIncludes HVAC, No Plumbing."
21,22,259 Grange Rd,03 055388 000 00 SS,Sign Permit,Closed,"Apr 08, 2003","Apr 09, 2003",Building sign for Victoria Chiropractic & Rehabilitation Clinic -Unit 13
22,23,259 Grange Rd,03 055834 000 00 PS,Special Categories - Building Permit,Closed,"May 28, 2003","Dec 11, 2003","Install 4 New Windows, One New Entrance and New Outdoor Patio Area - Bowling Alley.No Plumbing, No HVAC."
23,24,259 Grange Rd,03 055858 000 00 SS,Sign Permit,Closed,"Apr 24, 2003","Jul 17, 2003",Building Sign -Fusu Shi  Restaurant  (Units 14-16)
24,25,259 Grange Rd,03 056117 000 00 PS,Special Categories - Building Permit,Closed,"May 14, 2003","Sep 03, 2003","2 New Demising Walls.  One demising wall splitting Unit 11 into two suites (Units 10 & 11).  One demising wall separating Unit 12 from Units 10 & 11.  (No Plumbing, No HVAC)"
25,26,259 Grange Rd,03 056547 000 00 PP,Plumbing Permit,Closed,"May 22, 2003","Jan 08, 2004",Above-ground Plumbing (Units 14-16) Fu Sushi Japanese Restaurant
26,27,259 Grange Rd,03 056794 000 00 PR,ICI Renovation - Building Permit,Closed,"May 29, 2003","Jan 05, 2004","3 New Barrier Free Washrooms (1 in Each Suite) & New HVAC (Includes Plumbing & HVAC).Units 10, 11,12)"
27,28,259 Grange Rd,03 059082 000 00 SS,Sign Permit,Closed,"Jun 30, 2003","Jul 17, 2003",Building Sign (second)- Fu Sushi  Restaurant (Units 14-16)
28,29,259 Grange Rd,03 060081 000 00 PR,ICI Renovation - Building Permit,Closed,"Aug 28, 2003","Dec 29, 2003",Interior Renovations to Create 2 Cinema's (Thunderbowl) - Includes Plumbing & HVAC.
29,30,259 Grange Rd,03 063954 000 00 PT,Tenant Finishes - Building Permit,Closed,"Dec 23, 2003","Jan 06, 2004","Interior Tenant Finishes for New Retail Store (Includes Minor HVAC , No Plumbing)Unit #12- Dollar Store"
30,31,259 Grange Rd,04 065312 000 00 SS,Sign Permit,Closed,"Jan 20, 2004","Apr 28, 2004",Building Sign (Dollar Hub) - Unit 12
31,32,259 Grange Rd,04 068800 000 00 PR,ICI Renovation - Building Permit,Closed,"Oct 07, 2004","Dec 12, 2006","Interior Renovations for a Change of Use from a Group A, Div. 2-Bar to a Group E-Hardware Store of a Greater Hazard Index.  (Includes Minor Plumbing & Minor HVAC).  Unit 2-5, J L's Hardware Store.Amended Permit 2005.03.01. for sprinklering of entire building. 2005.03.01.-JPL."
32,33,259 Grange Rd,04 069033 000 00 SS,Sign Permit,Closed,"Jun 02, 2004","Sep 20, 2004",New Building Sign for Home Hardware (Unit 5)
33,34,259 Grange Rd,06 002938 000 00 PR,ICI Renovation - Building Permit,Closed,"Jun 08, 2006","Jun 24, 2008",Remove Wall - Install beam.  Unit #7  (Pizza Restaurant)
34,35,259 Grange Rd,06 002940 000 00 PR,ICI Renovation - Building Permit,Closed,"May 10, 2006","Feb 09, 2007","Interior Demolition to take 3 units to shell condition-lanes, theatre, partitions & plbg fixtures (Units 1-3) no new construction"
35,36,259 Grange Rd,06 006778 000 00 PP,Plumbing Permit,Closed,"Sep 07, 2006","Apr 03, 2007",Install new interior underground plumbing (sanitary/water)(Former Bowling Alley/Cinema) - Separate plumbing permit required for interior finishes
36,37,259 Grange Rd,06 006889 000 01 PR,ICI Renovation - Building Permit,Closed,"Sep 21, 2006","Jun 19, 2007",Interior Finishes.  Unit 1.  Planet Bean.  Revised to include Plumbing and HVAC.
37,38,259 Grange Rd,06 008104 000 00 PR,ICI Renovation - Building Permit,Closed,"Nov 09, 2006","Aug 20, 2008","Demising walls and washrooms for units 1 - 5.  Includes plumbing and roof top units.Includes new windows and doors North, East and West Elevations.AMENDED PERMIT NOV. 23/06 to include sprinklering of units 1-5. AMENDED May 6/08 to include additional demising walls."
38,39,259 Grange Rd,06 009006 000 00 PR,ICI Renovation - Building Permit,Closed,"Jan 12, 2007","Jun 19, 2007",Interior Finishes.  Unit 1A - Celeb's Children's Store. Includes Plumbing and HVAC.
39,40,259 Grange Rd,06 009007 000 01 PR,ICI Renovation - Building Permit,Closed,"Jan 12, 2007","Jul 25, 2008","Interior Finishes.  Unit 1B-Retail.  No plumbing, No HVAC - Separate permits required.Permit revised to enlarge existing opening."
40,41,259 Grange Rd,06 009012 000 00 PR,ICI Renovation - Building Permit,Closed,"Jan 12, 2007","Jul 23, 2008",Interior Finishes.  Unit 1C- Chartelli Wine & Cheese.  Includes Plumbing and HVAC.
41,42,259 Grange Rd,06 009013 000 00 PR,ICI Renovation - Building Permit,Closed,"Jan 12, 2007","May 10, 2007","Interior Finishes.  Unit 5 -Office.  No plumbing, No HVAC - Separate permits required."
42,43,259 Grange Rd,06 009014 000 00 PR,ICI Renovation - Building Permit,Closed,"Jan 12, 2007","Jun 11, 2007",Interior Finishes.  Unit 3 Stayfit.  Includes Plumbing and HVAC.
43,44,259 Grange Rd,07 000286 000 00 PK,Backflow Devices - Building Permit,Closed,"Jan 16, 2007","Apr 03, 2007","2 Backflow Prevention Devices  1 - 4"" DCVA, 2"" RP"
44,45,259 Grange Rd,07 000822 000 00 PH,Mechanical Permit,Closed,"Feb 28, 2007","Apr 10, 2007",HVAC & Minor Plumbing - Unit 4 Bon-Appetit.
45,46,259 Grange Rd,07 003601 000 00 PR,ICI Renovation - Building Permit,Closed,"Jun 20, 2007","Jul 26, 2007",Interior demolition only - to shell  (Unit 5)
46,47,259 Grange Rd,07 004997 000 00 PP,Plumbing Permit,Closed,"Aug 01, 2007","Jan 04, 2008",2 new salon sinks  (Unit 11)
47,48,259 Grange Rd,07 005511 000 00 PR,ICI Renovation - Building Permit,Closed,"Sep 20, 2007","Jun 17, 2008",Interior Finishes.  (Unit 5).  Teen Gym. (Includes minor Plumbing and HVAC)
48,49,259 Grange Rd,07 007945 000 00 PR,ICI Renovation - Building Permit,Closed,"Dec 11, 2007","Jul 17, 2008","Renovation to create office space. - Unit 17   Includes minor HVAC, minor Plumbing."
49,50,259 Grange Rd,08 001255 000 00 CL,Complaint By-Law,Closed,"Mar 03, 2008","Sep 25, 2008",Mobile sign
50,51,259 Grange Rd,08 002103 000 00 PR,ICI Renovation - Building Permit,Closed,"May 08, 2008","May 26, 2008","Interior Renovation to expand adjacent unit  (Unit #6 & #7)-JL Home Hardware (No HVAC, No plbg)-Open a portion of the existing demising wall."
51,52,259 Grange Rd,08 008961 000 00 CI,Property Inspection,Closed,"Aug 08, 2008","Aug 19, 2008",exterior wooden structure being built at Planet Bean
52,53,259 Grange Rd,08 009051 000 00 PR,ICI Renovation - Building Permit,Closed,"Sep 04, 2008","Jun 16, 2009",Interior Finishes (includes minor HVAC & minor Plbg) - Unit 1B-Left - Bridal Shop(See 06-8104 PR for HVAC roof top units)
53,54,259 Grange Rd,08 009126 000 00 PH,Mechanical Permit,Closed,"Aug 15, 2008","Sep 24, 2008",Install (1) laundry tub  (Unit 5B) - Patti's Flowers
54,55,259 Grange Rd,08 010030 000 00 CL,Complaint By-Law,Closed,"Sep 24, 2008","Sep 29, 2008",Yo Shi mobile sign within 30 m of another mobile sign
55,56,259 Grange Rd,08 010488 000 00 SS,Sign Permit,Closed,"Oct 15, 2008","Dec 11, 2008",Building sign for Ladybug Bridal & Evening Wear. Unit 1B.
56,57,259 Grange Rd,08 010902 000 00 CL,Complaint By-Law,Closed,"Oct 29, 2008","Dec 04, 2008",Portable sign (a-frame) without a permit. Celebs.
57,58,259 Grange Rd,08 010904 000 00 CL,Complaint By-Law,Closed,"Oct 29, 2008","Dec 04, 2008",Portable sign (a-frame) without a permit. Chartellis Wines and Juices.
58,59,259 Grange Rd,08 010906 000 00 CL,Complaint By-Law,Closed,"Oct 29, 2008","Dec 04, 2008",Portable sign (a-frame) without a permit. J.P.'s Hairstyling & Beauty Supply.
59,60,259 Grange Rd,08 010917 000 00 CL,Complaint By-Law,Closed,"Oct 30, 2008","Dec 04, 2008",Portable sign (a-frame) without a permit. Patti's Flowers.
60,61,259 Grange Rd,09 000173 000 00 CL,Complaint By-Law,Closed,"Jan 13, 2009","Jan 16, 2009","mobile sign up, no lettering, no permit."
61,62,259 Grange Rd,09 001568 000 00 PR,ICI Renovation - Building Permit,Closed,"Apr 03, 2009","Apr 08, 2009",Install 2 new windows (Unit 5B-Patti's Flowers)
62,63,259 Grange Rd,09 001866 000 00 PR,ICI Renovation - Building Permit,Closed,"May 13, 2009","Jun 01, 2009",Minor interior renovations to create 2 new changerooms (Unit 11) - Smitten Apparel.
63,64,259 Grange Rd,09 006776 000 00 CL,Complaint By-Law,Closed,"Nov 20, 2009","Nov 26, 2009",Mobile sign on wrong property
64,65,259 Grange Rd,10 000684 000 00 CL,Complaint By-Law,Closed,"Feb 08, 2010","Feb 25, 2010","Portable sign, no permit. Dorotech"
65,66,259 Grange Rd,10 000685 000 00 CL,Complaint By-Law,Closed,"Feb 08, 2010","Feb 25, 2010","Portable sign, no permit. Dalia"
66,67,259 Grange Rd,10 000686 000 00 CL,Complaint By-Law,Closed,"Feb 08, 2010","Jun 02, 2010","Portable sign, no permit. Bulldog Interactive Fitness"
67,68,259 Grange Rd,10 001640 000 00 PR,ICI Renovation - Building Permit,Closed,"Mar 31, 2010","Aug 20, 2010",Interior renovations to create Take-out Pizza Shop (includes minor plbg & HVAC & Grease Hood)Unit 1A
68,69,259 Grange Rd,10 005580 000 00 CL,Complaint By-Law,Closed,"Aug 10, 2010","Aug 16, 2010",P & M Cure nails mobile sign on wrong plaza
69,70,259 Grange Rd,10 007049 000 00 PR,ICI Renovation - Building Permit,Closed,"Nov 03, 2010","Oct 31, 2018","Interior Renovations (Incl. HVAC, & Plbg.)- Unit 8 -Restaurant -Super Happy Garden"
70,71,259 Grange Rd,11 000729 000 00 CL,Complaint By-Law,Closed,"Feb 09, 2011","Mar 03, 2011","Portable sign, no permit. Dorotech"
71,72,259 Grange Rd,11 000730 000 00 CL,Complaint By-Law,Closed,"Feb 09, 2011","Mar 03, 2011","Portable sign, no permit. Dalia"
72,73,259 Grange Rd,11 000732 000 00 CL,Complaint By-Law,Closed,"Feb 09, 2011","Mar 03, 2011",Portable sign (a-frame) without a permit. Chartelli Fine Wine and Cheeses.
73,74,259 Grange Rd,11 000733 000 00 CL,Complaint By-Law,Closed,"Feb 09, 2011","Feb 10, 2011",Portable sign (a-frame) without a permit. Patti's Flowers.
74,75,259 Grange Rd,11 000734 000 00 CL,Complaint By-Law,Closed,"Feb 09, 2011","Mar 03, 2011",A-Frame sign no permit - Stay Fit Health Centre Ltd.
75,76,259 Grange Rd,11 000735 000 00 CL,Complaint By-Law,Closed,"Feb 09, 2011","Mar 03, 2011",A-Frame sign no permit - Super Happy Garden Restaurant
76,77,259 Grange Rd,11 001222 000 00 CL,Complaint By-Law,Closed,"Mar 10, 2011","Sep 14, 2011",A-Frame sign no permit - Ashures Restaurant
77,78,259 Grange Rd,11 007839 000 00 CI,Property Inspection,Closed,"Oct 11, 2011","Feb 27, 2012",Liquor Licence
78,79,259 Grange Rd,11 012741 000 00 CL,Complaint By-Law,Closed,"Oct 28, 2011","Dec 06, 2011","Portable Sign for Planet Bean Inc., no permit"
79,80,259 Grange Rd,11 012748 000 00 CL,Complaint By-Law,Closed,"Oct 28, 2011","Dec 05, 2011","Portable Sign for Atlantic General Nutrition, no permit"
80,81,259 Grange Rd,14 003555 000 00 PR,ICI Renovation - Building Permit,Closed,"Jun 05, 2014","Jun 10, 2014",Minor interior demolition to create commercial school.(No HVAC & No Plbg) - Unit 1B-Left - Kumon
